Motor Control v0.1 PCB Components Bill of Materials,,,,,
QTY ,Part Number ,MFG PN,Digikey,Value ,Ref Designator 
8,CAP_0603 ,CL10A225KA8NNNC,1276-1879-1-ND,2u2 ,"C1-C3, C7, C8, C20-C22"
1,CAP_0603 ,CL10B682KB8NNNC,1276-1185-1-ND,6n8 ,C4
2,CAP_0603 ,,  ,DNP ,"C5, C6"
2,CAP_0603 ,CL10F105ZO8NNNC,1276-1243-1-ND,1u ,"C9, C10"
1,CAP_0603 ,CL10B223KB8NNNC,1276-1104-1-ND,22n ,C11
1,CAP_0603 ,CL10B121KB8NNNC,1276-1949-1-ND,120p ,C12
3,Cap_1206 ,,  ,47u ,"C13, C16, C30"
4,Cap_1206 ,,  ,4u7 ,"C14, C15, C18, C19"
3,CAP_0603 ,CL10B472KB8NNNC,1276-1098-1-ND,4n7 ,"C17, C29, C34"
3,CAP_0603 ,C1608X7R1C224K080AC,445-1318-1-ND,220n ,C23-C25
2,CAP_0603 ,CL10F104ZA8NNNC,1276-1011-1-ND,100n ,"C26, C27"
1,CAP_0603 ,1276-1967-1-ND,CL10B153KB8SFNC,15n ,C28
2,CAP_0603 ,1276-1296-1-ND,CL10C150JB8NNNC,15p ,"C31, C32"
3,Cap_pol_16mm ,UCS2C221MHD,493-5867-ND,220uF,"C35, C36, C48"
12,Cap_5750 ,C5750X7S2A106M230KB,445-5212-1-ND,10u ,"C33, C45-C47, C37-C44"
1,Diode_SOD-123 ,MBRX160-TP,MBRX160TPMSCT-ND,  ,D1
6,Shottky_Diode_TO-263AB ,STPS30SM100SG-TR,497-12661-1-ND,  ,"D2-D4, D6-D8"
1,Diode_Zener_SOT23-3 ,BZX84B5V1-7-F,BZX84B5V1-FDICT-ND,  ,D5
2,Diode_Surge_Bidir_SMA ,,  ,DNP ,"D9, D10"
2,Diode_Zener_SMA ,3SMAJ5944B-TP,3SMAJ5944B-TPMSCT-ND,  ,"D11, D12"
1,Heatsink_Fullbrick ,ATS-1148-C1-R0,ATS1510-ND,  ,H1
1,USB_MICRO_B_1050170001 ,1050170001,WM1399CT-ND,  ,J8
6,MOSFET_N ,IRFS3006TRL7PP,IRFS3006TRL7PPCT-ND,  ,Q1-Q6
5,Resistor_0603 ,,  ,DNP ,"R1-R3, R26, R28"
14,Resistor_0603 ,,  ,  ,"R4-R8, R10, R15, R16, R21, R23, R24, R27, R29, R37"
3,Resistor_0603 ,P10.0KHCT-ND,ERJ-3EKF1002V,10k ,"R9, R18, R35"
2,Resistor_0603 ,P22.0HCT-ND,ERJ-3EKF22R0V,22R ,"R11, R12"
1,Resistor_0603 ,CR0603-FX-3303ELFCT-ND,CR0603-FX-3303ELF,330k ,R13
1,Resistor_0603 ,CR0603-FX-1502ELF,CR0603-FX-1502ELFCT-ND,15k ,R14
3,Resistor_0603 ,CR0603-FX-2200ELF,CR0603-FX-2200ELFCT-ND,220R ,"R17, R20, R22"
1,Resistor_0603 ,CR0603-FX-2203ELF,CR0603-FX-2203ELFCT-ND,220k ,R19
5,Resistor_0603 ,CR0603-FX-1000ELF,CR0603-FX-1000ELFCT-ND,100R ,"R25, R30, R31, R41, R44"
6,Resistor_0603 ,CR0603-FX-3302ELF,CR0603-FX-3302ELFCT-ND,33k ,"R32-R34, R46-R48"
2,Resistor_0603 ,P100KGCT-ND,ERJ-3GEYJ104V,100k ,"R36, R51"
3,Resistor_0603 ,CR0603-FX-2201ELFCT-ND,CR0603-FX-2201ELF,2.2k ,R38-R40
2,Resistor_Sense_WSLP2726 ,71-WSLP27261L000FEA,Mouser,  ,"R42, R43"
6,Resistor_0603 ,RNCP0603FTD4R70,RNCP0603FTD4R70CT-ND,4R7 ,"R45, R49, R50, R52-R54"
3,Switch_Momentary_EVQ2P ,,  ,  ,SW1-SW3
1,DIP_4CH ,,  ,  ,SW4
1,JTAG_9PIN ,,  ,  ,U1
1,LED_RGB ,,  ,  ,U2
1,Inductor_SDR0805 ,SDR0805-220ML,SDR0805-220MLCT-ND,22u ,U3
1,STM32F405RGT6 ,STM32F405RGT6,497-11767-ND,  ,U4
1,DRV8302 ,DRV8302DCAR,296-29544-1-ND,  ,U5
1,LDO_3PIN ,LM3940IMPX-3.3/NOPB,LM3940IMPX-3.3/NOPBCT-ND,  ,U6
2,MOSFET_P ,SUM90P10-19L-E3,SUM90P10-19L-E3CT-ND,  ,"U7, U8"
1,400_20MHZ_CRYST ,ABLS-8.000MHZ-B4-T,535-10212-1-ND,8Mhz ,X1
